t (sec)	r (m)	θ (rad)	Vr (m/s)	ω (rad/s)	ar (m/s²)	α (rad/s²)	Pr (kg m/s)	Pθ (kg rad/s)
3.113	59.3498	1.0977	-0.3240	0.4177	17.8064	0.0023	-3.2404	4.1774
3.238	59.3090	1.1500	-0.3295	0.4183	15.0910	0.0023	-3.2955	4.1831
3.362	59.2678	1.2019	-0.3341	0.4189	12.3131	0.0024	-3.3412	4.1889
3.488	59.2255	1.2547	-0.3379	0.4195	9.5286	0.0024	-3.3785	4.1949
3.612	59.1834	1.3068	-0.3406	0.4201	6.9480	0.0024	-3.4061	4.2009
3.738	59.1403	1.3597	-0.3425	0.4207	4.6071	0.0024	-3.4246	4.2070
3.863	59.0975	1.4124	-0.3434	0.4213	2.6726	0.0024	-3.4335	4.2131
3.988	59.0545	1.4651	-0.3433	0.4219	1.2162	0.0025	-3.4330	4.2193
4.113	59.0117	1.5178	-0.3423	0.4225	0.3094	0.0025	-3.4228	4.2254
4.238	58.9690	1.5707	-0.3403	0.4232	0.0000	0.0024	-3.4031	4.2315
4.364	58.9263	1.6241	-0.3374	0.4238	0.3148	0.0024	-3.3736	4.2376
4.487	58.8850	1.6762	-0.3335	0.4244	1.2232	0.0024	-3.3354	4.2436
4.613	58.8433	1.7297	-0.3287	0.4250	2.7356	0.0024	-3.2868	4.2496
4.738	58.8026	1.7829	-0.3229	0.4255	4.7571	0.0023	-3.2293	4.2555
4.862	58.7629	1.8357	-0.3163	0.4261	7.1912	0.0023	-3.1631	4.2612
4.988	58.7235	1.8894	-0.3087	0.4267	9.9953	0.0022	-3.0866	4.2670
5.113	58.6855	1.9428	-0.3002	0.4272	12.9833	0.0022	-3.0019	4.2725
5.238	58.6485	1.9962	-0.2908	0.4278	16.0427	0.0021	-2.9085	4.2779
5.363	58.6128	2.0497	-0.2807	0.4283	19.0349	0.0021	-2.8066	4.2831
5.488	58.5784	2.1033	-0.2697	0.4288	21.8227	0.0020	-2.6966	4.2881
5.613	58.5454	2.1569	-0.2579	0.4293	24.2770	0.0019	-2.5787	4.2930
5.738	58.5140	2.2106	-0.2453	0.4298	26.2825	0.0018	-2.4533	4.2976
5.862	58.4844	2.2639	-0.2322	0.4302	27.7345	0.0017	-2.3217	4.3019
5.987	58.4562	2.3177	-0.2182	0.4306	28.5861	0.0016	-2.1823	4.3061
6.112	58.4298	2.3716	-0.2036	0.4310	28.7805	0.0015	-2.0364	4.3100
6.238	58.4051	2.4259	-0.1883	0.4314	28.2990	0.0014	-1.8832	4.3136
6.363	58.3826	2.4799	-0.1726	0.4317	27.1689	0.0013	-1.7256	4.3169
6.487	58.3622	2.5334	-0.1564	0.4320	25.4556	0.0012	-1.5642	4.3200
6.613	58.3435	2.5879	-0.1395	0.4323	23.1903	0.0010	-1.3954	4.3227
6.738	58.3271	2.6419	-0.1224	0.4325	20.5253	0.0009	-1.2239	4.3251
6.863	58.3129	2.6960	-0.1049	0.4327	17.5696	0.0008	-1.0486	4.3273
6.987	58.3010	2.7497	-0.0872	0.4329	14.4873	0.0006	-0.8717	4.3290
7.112	58.2913	2.8038	-0.0691	0.4330	11.3745	0.0005	-0.6907	4.3305
7.237	58.2838	2.8579	-0.0508	0.4332	8.4034	0.0004	-0.5076	4.3316
7.363	58.2785	2.9125	-0.0322	0.4332	5.6949	0.0002	-0.3216	4.3324
7.487	58.2757	2.9662	-0.0137	0.4333	3.4370	0.0001	-0.1375	4.3328
7.612	58.2751	3.0204	0.0048	0.4333	1.6777	-0.0000	0.0485	4.3329
7.738	58.2769	3.0750	0.0236	0.4333	0.5137	-0.0002	0.2358	4.3326
7.862	58.2810	3.1287	0.0419	0.4332	0.0193	-0.0003	0.4194	4.3320
7.988	58.2874	3.1833	0.0605	0.4331	0.2017	-0.0004	0.6048	4.3310
8.113	58.2961	3.2374	0.0787	0.4330	1.0546	-0.0006	0.7868	4.3297
8.238	58.3071	3.2915	0.0966	0.4328	2.5347	-0.0007	0.9664	4.3281
8.362	58.3202	3.3452	0.1142	0.4326	4.5518	-0.0008	1.1418	4.3262
8.488	58.3357	3.3997	0.1317	0.4324	7.0625	-0.0010	1.3165	4.3239
8.612	58.3530	3.4533	0.1485	0.4321	9.8690	-0.0011	1.4846	4.3213
8.738	58.3728	3.5077	0.1651	0.4318	12.9252	-0.0012	1.6509	4.3184
8.863	58.3944	3.5617	0.1811	0.4315	16.0165	-0.0013	1.8109	4.3152
8.988	58.4181	3.6156	0.1966	0.4312	19.0207	-0.0015	1.9656	4.3117
9.112	58.4433	3.6690	0.2113	0.4308	21.7760	-0.0016	2.1132	4.3080
9.238	58.4709	3.7233	0.2257	0.4304	24.2165	-0.0017	2.2569	4.3039
9.363	58.5000	3.7771	0.2393	0.4300	26.1681	-0.0018	2.3928	4.2996
9.488	58.5307	3.8308	0.2522	0.4295	27.5632	-0.0019	2.5216	4.2951
9.613	58.5630	3.8844	0.2643	0.4290	28.3404	-0.0019	2.6430	4.2904
9.738	58.5967	3.9380	0.2757	0.4285	28.4671	-0.0020	2.7567	4.2854
9.863	58.6318	3.9916	0.2862	0.4280	27.9416	-0.0021	2.8624	4.2803
9.987	58.6679	4.0446	0.2959	0.4275	26.8033	-0.0022	2.9590	4.2750
10.112	58.7055	4.0980	0.3048	0.4270	25.0901	-0.0022	3.0478	4.2696
10.238	58.7444	4.1518	0.3129	0.4264	22.8708	-0.0023	3.1285	4.2639
10.363	58.7840	4.2050	0.3200	0.4258	20.2844	-0.0023	3.1995	4.2582
10.488	58.8244	4.2582	0.3261	0.4252	17.4340	-0.0024	3.2614	4.2523
10.612	58.8651	4.3109	0.3314	0.4246	14.4730	-0.0024	3.3135	4.2464
10.738	58.9072	4.3644	0.3357	0.4240	11.4632	-0.0024	3.3571	4.2404
10.862	58.9490	4.4169	0.3391	0.4234	8.6307	-0.0024	3.3905	4.2344
10.988	58.9919	4.4702	0.3415	0.4228	6.0099	-0.0024	3.4149	4.2282
11.113	59.0347	4.5231	0.3429	0.4222	3.7780	-0.0025	3.4295	4.2221
11.238	59.0776	4.5758	0.3434	0.4216	2.0065	-0.0025	3.4345	4.2160
11.363	59.1205	4.6285	0.3430	0.4210	0.7672	-0.0024	3.4299	4.2098
11.488	59.1633	4.6810	0.3416	0.4204	0.1076	-0.0024	3.4159	4.2038
11.613	59.2059	4.7336	0.3392	0.4198	0.0489	-0.0024	3.3925	4.1977
11.738	59.2481	4.7860	0.3360	0.4192	0.5861	-0.0024	3.3598	4.1917
11.863	59.2898	4.8383	0.3318	0.4186	1.6882	-0.0023	3.3179	4.1858
11.988	59.3310	4.8906	0.3267	0.4180	3.3001	-0.0023	3.2670	4.1800
12.113	59.3715	4.9428	0.3207	0.4174	5.3457	-0.0023	3.2073	4.1743
12.237	59.4108	4.9946	0.3139	0.4169	7.7109	-0.0022	3.1394	4.1688
12.363	59.4499	5.0471	0.3062	0.4163	10.3490	-0.0021	3.0621	4.1633
12.488	59.4877	5.0991	0.2977	0.4158	13.0839	-0.0021	2.9771	4.1580
12.613	59.5243	5.1510	0.2884	0.4153	15.8165	-0.0020	2.8841	4.1529
12.738	59.5597	5.2029	0.2784	0.4148	18.4292	-0.0019	2.7835	4.1480
12.863	59.5939	5.2547	0.2676	0.4143	20.8107	-0.0019	2.6756	4.1432
12.990	59.6271	5.3073	0.2559	0.4139	22.8906	-0.0018	2.5587	4.1386
13.113	59.6578	5.3582	0.2439	0.4134	24.4948	-0.0017	2.4389	4.1344
13.238	59.6875	5.4098	0.2311	0.4130	25.6453	-0.0016	2.3108	4.1302
13.362	59.7154	5.4610	0.2178	0.4126	26.2636	-0.0015	2.1778	4.1264
13.487	59.7417	5.5126	0.2038	0.4123	26.3364	-0.0014	2.0380	4.1227
13.613	59.7665	5.5645	0.1892	0.4119	25.8500	-0.0013	1.8918	4.1193
13.737	59.7890	5.6156	0.1743	0.4116	24.8448	-0.0012	1.7430	4.1162
13.862	59.8099	5.6670	0.1589	0.4113	23.3471	-0.0011	1.5886	4.1134
13.987	59.8287	5.7184	0.1430	0.4111	21.4270	-0.0010	1.4300	4.1108
14.112	59.8456	5.7698	0.1268	0.4108	19.1654	-0.0009	1.2678	4.1085
14.238	59.8605	5.8215	0.1101	0.4106	16.6364	-0.0008	1.1010	4.1064
14.363	59.8732	5.8728	0.0933	0.4105	13.9853	-0.0006	0.9327	4.1047
14.488	59.8838	5.9241	0.0762	0.4103	11.3026	-0.0005	0.7619	4.1032
14.613	59.8923	5.9754	0.0589	0.4102	8.6993	-0.0004	0.5893	4.1020
14.737	59.8985	6.0263	0.0417	0.4101	6.3009	-0.0003	0.4165	4.1012
14.863	59.9026	6.0780	0.0240	0.4101	4.1520	-0.0002	0.2399	4.1006
14.988	59.9045	6.1292	0.0064	0.4100	2.3953	-0.0000	0.0640	4.1004
15.112	59.9043	6.1801	-0.0111	0.4100	1.0935	0.0000	-0.1106	4.1004
15.237	59.9018	6.2313	-0.0286	0.4101	0.2796	0.0002	-0.2863	4.1007
15.362	59.8971	6.2826	-0.0461	0.4101	0.0000	0.0003	-0.4613	4.1014
15.487	59.8902	0.0507	-0.0635	0.4102	0.2671	0.0004	-0.6351	4.1023
15.613	59.8812	0.1024	-0.0809	0.4104	1.0794	0.0006	-0.8087	4.1036
15.737	59.8701	0.1533	-0.0977	0.4105	2.3795	0.0007	-0.9774	4.1051
15.863	59.8567	0.2050	-0.1146	0.4107	4.1560	0.0008	-1.1464	4.1069
15.988	59.8413	0.2563	-0.1311	0.4109	6.3003	0.0009	-1.3110	4.1090
16.112	59.8241	0.3073	-0.1471	0.4111	8.7170	0.0010	-1.4710	4.1114
16.238	59.8045	0.3591	-0.1630	0.4114	11.3675	0.0011	-1.6298	4.1141
16.362	59.7834	0.4102	-0.1782	0.4117	14.0605	0.0012	-1.7819	4.1170
16.487	59.7602	0.4616	-0.1931	0.4120	16.7480	0.0013	-1.9306	4.1202
16.613	59.7349	0.5136	-0.2075	0.4124	19.3159	0.0014	-2.0755	4.1237
16.738	59.7081	0.5652	-0.2214	0.4127	21.6158	0.0015	-2.2138	4.1274
16.863	59.6796	0.6168	-0.2346	0.4131	23.5711	0.0016	-2.3463	4.1313
16.987	59.6497	0.6680	-0.2472	0.4135	25.0875	0.0017	-2.4717	4.1355
17.112	59.6181	0.7197	-0.2592	0.4140	26.1232	0.0018	-2.5917	4.1399
17.237	59.5850	0.7715	-0.2705	0.4144	26.6175	0.0019	-2.7048	4.1445
17.364	59.5499	0.8242	-0.2813	0.4149	26.5404	0.0020	-2.8125	4.1493
17.487	59.5147	0.8753	-0.2909	0.4154	25.9089	0.0020	-2.9095	4.1543
17.614	59.4772	0.9280	-0.3002	0.4160	24.7064	0.0021	-3.0017	4.1595
17.738	59.4394	0.9797	-0.3084	0.4165	23.0397	0.0022	-3.0838	4.1648
17.862	59.4007	1.0313	-0.3158	0.4170	20.9546	0.0022	-3.1578	4.1702
17.987	59.3608	1.0835	-0.3224	0.4176	18.5167	0.0023	-3.2239	4.1758
18.112	59.3202	1.1357	-0.3281	0.4182	15.8453	0.0023	-3.2813	4.1816
18.238	59.2785	1.1885	-0.3330	0.4187	13.0336	0.0024	-3.3302	4.1874
18.362	59.2370	1.2404	-0.3369	0.4193	10.2712	0.0024	-3.3693	4.1933
18.488	59.1943	1.2933	-0.3400	0.4199	7.5942	0.0024	-3.3998	4.1994
18.612	59.1520	1.3454	-0.3421	0.4205	5.2062	0.0024	-3.4205	4.2054
18.737	59.1092	1.3980	-0.3432	0.4211	3.1564	0.0024	-3.4320	4.2115
18.862	59.0663	1.4507	-0.3434	0.4218	1.5616	0.0025	-3.4341	4.2176
18.987	59.0234	1.5034	-0.3427	0.4224	0.4990	0.0025	-3.4265	4.2237
19.113	58.9803	1.5567	-0.3409	0.4230	0.0221	0.0024	-3.4093	4.2299
19.237	58.9382	1.6092	-0.3383	0.4236	0.1637	0.0024	-3.3828	4.2359
19.363	58.8958	1.6626	-0.3346	0.4242	0.9302	0.0024	-3.3463	4.2420
19.488	58.8542	1.7157	-0.3301	0.4248	2.2842	0.0024	-3.3005	4.2480
19.613	58.8133	1.7688	-0.3245	0.4254	4.1756	0.0023	-3.2454	4.2539
19.738	58.7731	1.8220	-0.3181	0.4260	6.5256	0.0023	-3.1811	4.2598
19.862	58.7341	1.8749	-0.3108	0.4265	9.2103	0.0023	-3.1082	4.2654
19.988	58.6955	1.9286	-0.3025	0.4271	12.1794	0.0022	-3.0252	4.2710
20.112	58.6585	1.9816	-0.2935	0.4276	15.2088	0.0021	-2.9348	4.2764
20.237	58.6224	2.0351	-0.2835	0.4282	18.2332	0.0021	-2.8353	4.2817
20.362	58.5877	2.0887	-0.2727	0.4287	21.0900	0.0020	-2.7274	4.2868
20.487	58.5543	2.1423	-0.2612	0.4292	23.6474	0.0019	-2.6117	4.2917
20.613	58.5221	2.1964	-0.2487	0.4296	25.8008	0.0018	-2.4872	4.2964
20.737	58.4921	2.2497	-0.2358	0.4301	27.4037	0.0017	-2.3575	4.3008
20.863	58.4633	2.3039	-0.2219	0.4305	28.4289	0.0016	-2.2187	4.3050
20.987	58.4366	2.3573	-0.2076	0.4309	28.7942	0.0015	-2.0756	4.3090
21.113	58.4114	2.4116	-0.1924	0.4313	28.4908	0.0014	-1.9240	4.3127
21.238	58.3884	2.4656	-0.1768	0.4316	27.5291	0.0013	-1.7678	4.3161
21.362	58.3674	2.5191	-0.1608	0.4319	25.9668	0.0012	-1.6077	4.3192
21.487	58.3484	2.5731	-0.1442	0.4322	23.8499	0.0011	-1.4416	4.3220
21.612	58.3314	2.6272	-0.1271	0.4325	21.2868	0.0009	-1.2711	4.3245
21.737	58.3166	2.6812	-0.1097	0.4327	18.3971	0.0008	-1.0968	4.3267
21.863	58.3039	2.7358	-0.0918	0.4329	15.2916	0.0007	-0.9178	4.3286
21.988	58.2936	2.7899	-0.0737	0.4330	12.1662	0.0005	-0.7374	4.3301
22.113	58.2855	2.8440	-0.0555	0.4331	9.1449	0.0004	-0.5548	4.3313
22.238	58.2797	2.8982	-0.0371	0.4332	6.3710	0.0003	-0.3706	4.3322
22.362	58.2762	2.9519	-0.0187	0.4333	3.9938	0.0001	-0.1867	4.3327
22.488	58.2751	3.0065	0.0000	0.4333	2.0749	-0.0000	0.0007	4.3329
22.613	58.2762	3.0606	0.0187	0.4333	0.7566	-0.0001	0.1866	4.3327
22.738	58.2797	3.1148	0.0372	0.4332	0.0835	-0.0003	0.3720	4.3322
22.862	58.2855	3.1685	0.0555	0.4331	0.0842	-0.0004	0.5548	4.3313
22.987	58.2935	3.2226	0.0737	0.4330	0.7574	-0.0005	0.7373	4.3301
23.113	58.3040	3.2772	0.0919	0.4329	2.0852	-0.0007	0.9191	4.3286
23.237	58.3165	3.3309	0.1095	0.4327	3.9649	-0.0008	1.0953	4.3267
23.364	58.3315	3.3858	0.1272	0.4324	6.3851	-0.0009	1.2724	4.3245
23.487	58.3482	3.4390	0.1440	0.4322	9.0945	-0.0011	1.4401	4.3220
23.612	58.3672	3.4930	0.1606	0.4319	12.0859	-0.0012	1.6064	4.3192
23.738	58.3885	3.5474	0.1769	0.4316	15.2004	-0.0013	1.7690	4.3161
23.863	58.4116	3.6013	0.1925	0.4313	18.2417	-0.0014	1.9252	4.3126
23.987	58.4364	3.6548	0.2074	0.4309	21.0698	-0.0015	2.0744	4.3090
24.113	58.4635	3.7090	0.2220	0.4305	23.6172	-0.0016	2.2198	4.3050
24.237	58.4919	3.7624	0.2356	0.4301	25.6876	-0.0017	2.3564	4.3008
24.362	58.5221	3.8161	0.2487	0.4296	27.2418	-0.0018	2.4872	4.2964
24.488	58.5543	3.8702	0.2612	0.4292	28.1971	-0.0019	2.6116	4.2917
24.612	58.5874	3.9234	0.2727	0.4287	28.4977	-0.0020	2.7265	4.2868
24.738	58.6224	3.9774	0.2835	0.4282	28.1432	-0.0021	2.8352	4.2817
24.863	58.6585	4.0309	0.2935	0.4276	27.1543	-0.0021	2.9348	4.2764
24.988	58.6958	4.0843	0.3026	0.4271	25.5802	-0.0022	3.0259	4.2710
25.112	58.7338	4.1372	0.3108	0.4265	23.5146	-0.0023	3.1076	4.2655
25.237	58.7731	4.1905	0.3181	0.4260	21.0214	-0.0023	3.1810	4.2598
25.363	58.8136	4.2441	0.3246	0.4254	18.2073	-0.0023	3.2459	4.2539
25.487	58.8542	4.2969	0.3301	0.4248	15.2690	-0.0024	3.3005	4.2480
25.612	58.8957	4.3499	0.3346	0.4242	12.2702	-0.0024	3.3462	4.2420
25.737	58.9378	4.4029	0.3383	0.4236	9.3672	-0.0024	3.3825	4.2360
25.863	58.9806	4.4562	0.3409	0.4230	6.6667	-0.0024	3.4094	4.2298
25.988	59.0233	4.5091	0.3427	0.4224	4.3277	-0.0025	3.4265	4.2237
26.113	59.0662	4.5618	0.3434	0.4218	2.4264	-0.0025	3.4341	4.2176
26.237	59.1088	4.6141	0.3432	0.4212	1.0494	-0.0024	3.4321	4.2115
26.363	59.1520	4.6671	0.3421	0.4205	0.2242	-0.0024	3.4205	4.2054
26.488	59.1946	4.7197	0.3400	0.4199	0.0058	-0.0024	3.3996	4.1993
26.612	59.2366	4.7717	0.3370	0.4193	0.3818	-0.0024	3.3696	4.1934
26.738	59.2788	4.8245	0.3330	0.4187	1.3440	-0.0024	3.3299	4.1874
26.862	59.3198	4.8764	0.3282	0.4182	2.8138	-0.0023	3.2818	4.1816
26.990	59.3615	4.9299	0.3223	0.4176	4.8010	-0.0023	3.2229	4.1757
27.112	59.4004	4.9808	0.3158	0.4170	7.0525	-0.0022	3.1584	4.1703
27.238	59.4397	5.0333	0.3083	0.4165	9.6395	-0.0022	3.0832	4.1647
27.362	59.4775	5.0849	0.3001	0.4159	12.3330	-0.0021	3.0010	4.1595
27.487	59.5144	5.1369	0.2910	0.4154	15.0780	-0.0020	2.9103	4.1543
27.613	59.5505	5.1892	0.2811	0.4149	17.7554	-0.0020	2.8109	4.1493
27.737	59.5847	5.2406	0.2706	0.4145	20.1899	-0.0019	2.7058	4.1445
27.862	59.6178	5.2924	0.2593	0.4140	22.3397	-0.0018	2.5927	4.1399
27.986	59.6492	5.3437	0.2474	0.4136	24.0823	-0.0017	2.4737	4.1355
28.112	59.6796	5.3958	0.2346	0.4131	25.3824	-0.0016	2.3464	4.1313
28.237	59.7081	5.4474	0.2214	0.4127	26.1512	-0.0015	2.2138	4.1274
28.363	59.7351	5.4994	0.2074	0.4124	26.3709	-0.0014	2.0744	4.1237
28.487	59.7600	5.5505	0.1932	0.4120	26.0362	-0.0013	1.9319	4.1202
28.613	59.7834	5.6024	0.1782	0.4117	25.1531	-0.0012	1.7820	4.1170
28.737	59.8045	5.6534	0.1630	0.4114	23.7878	-0.0011	1.6299	4.1141
28.863	59.8241	5.7052	0.1471	0.4111	21.9562	-0.0010	1.4711	4.1114
28.987	59.8413	5.7562	0.1311	0.4109	19.7924	-0.0009	1.3111	4.1090
29.113	59.8568	5.8079	0.1145	0.4107	17.3192	-0.0008	1.1451	4.1069
29.238	59.8701	5.8593	0.0977	0.4105	14.6950	-0.0007	0.9775	4.1051
29.362	59.8811	5.9102	0.0809	0.4104	12.0312	-0.0006	0.8087	4.1036
29.488	59.8902	5.9619	0.0635	0.4102	9.3748	-0.0004	0.6352	4.1023
29.613	59.8971	6.0131	0.0461	0.4101	6.8986	-0.0003	0.4614	4.1014
29.738	59.9018	6.0644	0.0286	0.4101	4.6831	-0.0002	0.2864	4.1007
29.863	59.9043	6.1156	0.0111	0.4100	2.8197	-0.0000	0.1106	4.1004
29.988	59.9045	6.1669	-0.0065	0.4100	1.3851	0.0000	-0.0654	4.1004
30.113	59.9026	6.2182	-0.0241	0.4101	0.4386	0.0002	-0.2412	4.1006
30.237	59.8986	6.2690	-0.0415	0.4101	0.0210	0.0003	-0.4150	4.1012
30.363	59.8922	0.0375	-0.0591	0.4102	0.1465	0.0004	-0.5906	4.1021
30.488	59.8838	0.0888	-0.0763	0.4103	0.8146	0.0005	-0.7633	4.1032
30.612	59.8732	0.1397	-0.0933	0.4105	1.9864	0.0006	-0.9326	4.1047
30.737	59.8605	0.1910	-0.1101	0.4106	3.6336	0.0008	-1.1009	4.1064
30.863	59.8456	0.2427	-0.1268	0.4108	5.7001	0.0009	-1.2677	4.1084
30.987	59.8289	0.2937	-0.1429	0.4111	8.0490	0.0010	-1.4287	4.1107
31.113	59.8099	0.3455	-0.1589	0.4113	10.6582	0.0011	-1.5885	4.1134
31.238	59.7890	0.3969	-0.1743	0.4116	13.3614	0.0012	-1.7430	4.1162
